,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth,Utils,Other
2007-06-01,8.47198827588443e-18,0.0,0.0,1.0,2.4896443971705722e-17,0.0,0.0,1.0686468870561053e-16,0.0,0.0
2007-07-01,0.0,0.0,1.5759692750343103e-17,0.9999999999999998,0.0,5.2593989756316224e-17,1.9428425432409076e-16,2.016710488904463e-17,0.0,4.1126565718929906e-17
2007-08-01,7.621335575334063e-18,7.483714485821081e-19,0.0,1.0,0.0,1.598928507941348e-17,1.6451439733654357e-17,0.0,0.0,0.0
2007-09-01,0.0,0.0,0.0,1.0,1.9905639149771946e-17,0.0,0.0,4.6490444007204615e-17,7.632783294297951e-17,3.940316770645829e-17
2007-10-01,1.0981005406287859e-16,0.0,0.0,1.0,2.180640662887292e-17,0.0,8.968155189415945e-17,0.0,0.0,3.4358664165530336e-18
2007-11-01,0.0,3.014486472697472e-17,1.460991500764992e-16,1.0,0.0,1.739074681555652e-17,1.293044928198697e-17,0.0,0.0,0.0
2007-12-01,0.0,0.0,3.4046848557703106e-17,1.0,0.0,0.0,1.8673333981301876e-16,1.5794953566670576e-16,0.0,0.0
2008-01-01,0.0,0.0,8.375237875528964e-16,1.0,0.0,3.8846150028001446e-17,3.4505196427078745e-17,4.3716548929745634e-17,0.0,5.2521162529359173e-17
2008-02-01,2.695312204977685e-16,0.0,0.0,0.9999999999999999,7.27390816386908e-17,2.981501098709381e-17,7.590844557582408e-17,2.420733774006479e-16,0.0,2.0306686299321244e-18
2008-03-01,5.726177067708752e-17,0.0,1.4271590986272359e-16,1.0,3.890231849640988e-18,0.0,0.0,1.3697110311647507e-17,6.938893903907228e-17,0.0
2008-04-01,1.2986571714956453e-16,3.8215774343590916e-17,3.41321714731841e-16,1.0,0.0,9.269786187734962e-17,5.132238224349099e-17,0.0,0.0,7.081481619386989e-17
2008-05-01,0.0,7.434971887451984e-17,0.0,0.9999999999999999,0.0,8.367589418406599e-17,0.0,0.0,1.3877787807814457e-16,1.2569031238320694e-17
2008-06-01,0.0,0.0,0.0,1.0,0.0,2.4278989474129044e-17,6.207824281842588e-17,5.870699838696251e-17,6.938893903907228e-17,5.1647292332197606e-18
2008-07-01,0.0,5.092477350000147e-17,0.0,1.0,0.0,6.86231766453338e-17,1.441329370773241e-18,0.0,2.498001805406602e-16,0.0
2008-08-01,1.0767563072004194e-16,0.0,6.999121718300587e-17,1.0,0.0,0.0,3.269176171780788e-17,0.0,1.1102230246251565e-16,0.0
2008-09-01,0.0,4.181411493952567e-17,0.0,0.9999999999999998,7.712172965360015e-18,4.866438493189517e-17,2.7561057225547528e-17,1.6432990890584023e-17,2.0640972793831447e-16,4.286933877683609e-17
2008-10-01,0.0,1.0109810067391622e-16,1.1102230246251565e-16,1.0,5.417226600183584e-17,1.3180250693072953e-16,0.0,1.2885892736601137e-16,0.0,8.899565239413477e-17
2008-11-01,7.451688002065941e-17,0.0,1.3284195385743403e-16,0.9999999999999999,3.48789833553502e-19,0.0,2.48528709517953e-17,0.0,3.400058012914542e-16,0.0
2008-12-01,7.1342606993188e-17,0.0,1.5167797354408379e-16,0.9999999999999996,0.0,0.0,4.083455995220751e-17,0.0,7.771561172376096e-16,0.0
2009-01-01,0.0,1.222837100271782e-16,3.208621446246807e-16,1.0,1.0947389774259787e-16,1.4728773279430955e-16,1.1989486469948992e-16,1.6863478397903522e-17,0.0,1.3701933154329533e-16
2009-02-01,0.0,8.727389364398067e-17,1.0251159941470684e-16,1.0,0.0,1.1246751688267383e-20,1.4545114457482455e-16,1.2390484610439777e-16,0.0,4.7970974531060565e-17
2009-03-01,0.0,0.0,0.0,1.0,7.532161025265862e-17,0.0,0.0,1.9852141699795466e-16,0.0,7.937442607375701e-17
2009-04-01,0.0,0.0,1.698442170544112e-16,0.9999999999999996,6.968707277238034e-17,1.2219437095320982e-17,2.5714786258506173e-16,1.6446619130496843e-16,1.6653345369377348e-16,0.0
2009-05-01,7.805077465190188e-17,0.0,0.0,1.0,6.620360754087184e-17,0.0,0.0,0.0,3.608224830031759e-16,1.7618378792175733e-17
2009-06-01,0.0,5.765355672710289e-17,0.0,1.0,1.1415668476987739e-16,0.0,0.0,0.0,1.5265566588595902e-16,7.138017419103529e-17
2009-07-01,0.0,8.930023242285559e-17,0.0,1.0,8.701301075157267e-17,0.0,0.0,0.0,3.0531133177191805e-16,0.0
2009-08-01,0.0,1.5250559759425536e-16,0.0,1.0,0.0,2.0784999195852806e-16,8.168407034902459e-18,0.0,9.575673587391975e-16,0.0
2009-09-01,1.1569112296359004e-16,1.2346894000822709e-16,0.0,0.9999999999999999,4.804474569586881e-17,0.0,0.0,2.3434053157936363e-17,2.7755575615628914e-17,0.0
2009-10-01,0.0,0.0,4.132242802314872e-16,1.0,0.0,0.0,1.2991534639975992e-16,6.109168812422842e-17,0.0,0.0
2009-11-01,0.0,0.0,5.177190569254237e-17,0.9999999999999998,0.0,0.0,7.143512447089958e-17,0.0,9.402201239794294e-16,0.0
2009-12-01,4.123991377802764e-16,2.1543023577807783e-16,0.0,0.9999999999999999,4.03704721921271e-17,7.368282762568263e-17,0.0,0.0,0.0,4.225181690906563e-17
2010-01-01,2.308202923833708e-16,0.0,5.3621501718349577e-17,0.9999999999999998,0.0,0.0,6.005576479038053e-17,1.6308335428825773e-16,0.0,4.588441627664177e-18
2010-02-01,2.0122792321330962e-16,7.313222191505911e-17,0.0,1.0,1.1344182051369184e-16,1.1429178718588047e-16,0.0,0.0,0.0,0.0
2010-03-01,2.914335439641036e-16,0.0,0.0,1.0,2.4648254024170964e-16,2.412576426422406e-16,4.265865499555335e-17,4.046208432253513e-17,0.0,0.0
2010-04-01,9.71445146547012e-17,4.175613069236085e-17,0.0,1.0,1.473068731395191e-16,1.5026751242582686e-16,4.812723740305661e-17,6.431703852472956e-17,0.0,3.465215548774369e-17
2010-05-01,1.0824674490095276e-15,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-06-01,0.02927528660596096,0.0,3.034407143516011e-16,0.9707247133940384,5.50270651109366e-17,0.0,1.0425057184384292e-16,0.0,1.443686350052593e-16,3.840235610409729e-17
2010-07-01,1.4863096446994207e-15,0.0,1.3985350666452976e-17,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-08-01,0.0,0.0,2.5529436821714857e-16,1.0,6.8096728339010725e-18,3.2104396740416056e-17,0.0,0.0,0.0,7.840905266165785e-17
2010-09-01,0.1985404475953631,3.735853810118872e-17,7.871981589635076e-17,0.8014595524046371,0.0,0.0,0.0,0.0,1.198644854603251e-16,0.0
2010-10-01,0.1372235301292701,1.6229314295625345e-16,0.0,0.8627764698707296,0.0,1.834209840748924e-17,3.0729762690529523e-16,0.0,2.310047829585548e-16,0.0
